Iris,95.33,93.88,0.920,0.9293,130.68
Breast-cancer,70.04,70.8,0.9848,0.8238,169.48
Wine,97.75,97.18,0.9718,0.9718,515.74
Mushroom,98.95,99.15,0.9915,0.9915,172537.72
Balanced Scale,91.2,90.51,0.92,0.91,420.8
Cylinder Bands,64.26,64.26,1.0,0.78,7583.65
Solar Flare,97.83,97.83,1.0,0.99,322.2
Banknote_auth,83.97,83.96,0.88,0.86,32386.54
Nursery,72.79,58.09,0.66,0.62,590471.97
Breast_Can_Wis(o),93.5,93.96,0.96,0.95,49563.65
